Symbol,SEM_SMST_SECURITY_ID
360ONE,13061
3MINDIA,474
ACC,22
AIAENG,13086
APLAPOLLO,25780
AUBANK,21238
AWL,8110
ABBOTINDIA,17903
ATGL,6066
ABCAPITAL,21614
ABFRL,30108
AJANTPHARM,8124
ALKEM,11703
APARINDS,11491
APOLLOTYRE,163
ASHOKLEY,212
ASTRAL,14418
AUROPHARMA,275
BSE,19585
BALKRISIND,335
BANDHANBNK,2263
BANKINDIA,4745
MAHABANK,11377
BERGEPAINT,404
BDL,2144
BHARATFORG,422
BHEL,438
BHARTIHEXA,23489
BIOCON,11373
BLUESTARCO,8311
CRISIL,757
COCHINSHIP,21508
COFORGE,11543
COLPAL,15141
CONCOR,4749
COROMANDEL,739
CUMMINSIND,1901
DALBHARAT,8075
DEEPAKNTR,19943
DIXON,21690
EMAMILTD,13517
ENDURANCE,18822
ESCORTS,958
EXIDEIND,676
NYKAA,6545
FEDERALBNK,1023
FORTIS,14592
GVT&D,16783
GMRAIRPORT,13528
GICRE,277
GLAND,1186
GLAXO,1153
GLENMARK,7406
MEDANTA,11956
GODREJIND,10925
GODREJPROP,17875
FLUOROCHEM,13750
GUJGASLTD,10599
HDFCAMC,4244
HINDPETRO,1406
HINDZINC,1424
POWERINDIA,18457
HONAUT,3417
HUDCO,20825
IDFCFIRSTB,11184
IRB,15313
INDIANB,14309
IRCTC,13611
IREDA,20261
IGL,11262
INDUSTOWER,29135
IPCALAB,1633
JKCEMENT,13270
JSWINFRA,19020
JSL,11236
JUBLFOOD,18096
KPRMILL,14912
KEI,13310
KPITTECH,9683
KALYANKJIL,2955
LTF,24948
LTTS,18564
LICHSGFIN,1997
LINDEINDIA,1627
LLOYDSME,17313
LUPIN,10440
MRF,2277
M&MFIN,13285
M&MFIN,20050
MRPL,2283
MANKIND,15380
MARICO,4067
MFSL,2142
MAXHEALTH,22377
MAZDOCK,509
MSUMI,8596
MOTILALOFS,14947
MPHASIS,4503
MUTHOOTFIN,23650
NHPC,17400
NLCINDIA,8585
NMDC,15332
NTPCGREEN,27176
NATIONALUM,6364
NAM-INDIA,357
OBEROIRLTY,20242
OIL,17438
OLAELEC,24777
PAYTM,6705
OFSS,10738
POLICYBZR,6656
PIIND,24184
PAGEIND,14413
PATANJALI,17029
PERSISTENT,18365
PETRONET,11351
PHOENIXLTD,14552
POLYCAB,9590
PREMIERENE,25049
PRESTIGE,20302
RVNL,9552
SBICARD,17971
SJVN,18883
SRF,3273
SCHAEFFLER,1011
SOLARINDS,13332
SONACOMS,4684
STARHEALTH,7083
SAIL,2963
SUNTV,13404
SUNDARMFIN,3339
SUPREMEIND,3363
SUZLON,12018
SYNGENE,10243
TATACOMM,3721
TATAELXSI,3411
TATAINVEST,1621
TATATECH,20293
NIACL,399
THERMAX,3475
TORNTPOWER,13786
TIINDIA,312
UNOMINDA,14154
UPL,11287
UNIONBANK,10753
UBL,16713
VMM,27969
IDEA,14366
VOLTAS,3718
WAAREEENER,25907
YESBANK,11915
